ps1,ps2,midterm
95,93,99
87,61,70
91,96,94
80,39,51
84,34,79
87,55,80
86,47,72
0,43,63
100,98,99
85,71,87
92,42,73
95,56,38
83,87,90
85,78,62
97,86,96
96,100,105
83,48,71
94,94,83
63,61,71
NA,76,83
86,87,96
79,93,92
83,56,71
86,48,83
91,98,91
76,43,77
97,83,44
82,88,57
98,100,102
93,100,94
87,28,79
86,88,87
85,54,61
89,86,100
64,50,49
66,0,58
96,91,96
84,66,79
77,65,62
83,82,94
97,94,104
94,89,57
NA,0,60
63,50,43
62,79,45
74,79,80
89,57,84
77,28,66
78,56,81
90,82,0
87,96,94
47,63,84
93,96,97
88,80,87
72,30,58
83,94,96
89,75,101
88,72,79
72,82,93
82,59,80
92,63,75
88,81,62
96,99,100
68,50,65
88,72,85
83,95,100
77,90,89
93,85,58
93,97,98
71,80,91
97,100,101
75,50,29
98,100,103
89,88,78
95,72,39
95,79,66
96,57,88
88,93,95
100,100,100
13,50,60
100,98,107
88,68,81
57,77,74
70,88,77
73,75,64
87,58,90
92,72,78
100,90,103
51,96,92
79,82,100
25,55,58
98,87.4,94
100,97,105
76,90,81
100,98,105
91,95,87
89,53,64
81,77,97
36,41,50
80,93,74
73,87,80
92,66,83
71,82,70
94,93,85
90,83,78
80,87,85
59,74,102
87,86,108
90,89,98
88,96,104
88,98,82
92,96,98
85,97,102
79,75.46,58
65,95,104
64,59,
90,86,79
69,79,71
89,86,103
95,98,
71,57,82
87,90,73
91,97,68
97,92,89
90,92,101
56,80,68
65,65,80
83,84,62
40.7,51,73
0,0,
100,94,91
56,51,80
98,79,103
25,53,73
65,89,96
90,89,99
68.6,0,87
93,75,71
65,86,65
89,79,76
55,48,63
92,66,79
82,86,84
90,95,74
85,90,94
86,52.92,67
0,0,87
53,77,78
86,78,72
74,83,80
82,81,61
68,94,67
84,73,92
99,86,83
74,0,76
76,67.62,103
64,74,71
79,75,70
90,98,92
93,94,104
23,99,33
87,69,81
84,91,84
25,47,62
84,93,90
98,94,
96,85,
84,88,88
64,79,84
65,53,74
33,54,63
86,91,103
74,76,74
61,98,100
94,96,80
65,74,66
69,49,79
61,67,57