year,pop
1985,11399806
1986,11387257
1987,11391178
1988,11390183
1989,11409782
1990,11446979
1991,11535973
1992,11635197
1993,11725984
1994,11804986
1995,11884935
1996,11953003
1997,12011509
1998,12069774
1999,12128370
2000,12434161
2001,12488445
2002,12525556
2003,12556006
2004,12589773
2005,12609903
2006,12643955
2007,12695866
2008,12747038
2009,12796778
2010,12840545
2011,12867783
2012,12883029
2013,12895778
2014,12885092
2015,12859585
2016,12821709
2017,12779893
2018,12724685
2019,12667017